feature,gain,pct,cum_pct
bases_state,92356.98235321045,21.86140711143196,21.86140711143196
outs_when_up,42358.369386553764,10.026459658398299,31.887866769830257
b_k_rate,29875.735648373142,7.071751405484313,38.95961817531457
p_k_rate,21661.04927378893,5.1272898330964845,44.08690800841105
b_bb_rate,20282.619672879577,4.801007943929926,48.887915952340975
p_pa_count,18665.521365880966,4.418231855671611,53.30614780801259
p_bb_rate,18435.22633124888,4.363719750798164,57.66986755881075
b_pa_count,17228.10079395771,4.077986478305519,61.74785403711627
b_hr_rate,16138.074603617191,3.819971267089288,65.56782530420556
p_hr_rate,15056.787802100182,3.564024717409065,69.13185002161462
b_avg,13087.796107888222,3.097953523554175,72.2298035451688
score_diff,12984.130293130875,3.0734152534396157,75.30321879860843
b_iso,12516.646706402302,2.9627593100881873,78.26597810869661
p_obp,12330.658858776093,2.918734960752198,81.18471306944882
p_avg,12159.026743292809,2.878108692392468,84.06282176184129
inning,11778.997255682945,2.788153616649358,86.85097537849065
b_obp,11610.884961217642,2.7483605093379087,89.59933588782856
p_iso,11572.231564760208,2.73921103720635,92.3385469250349
b_slg,11477.043012857437,2.716679381965215,95.05522630700013
p_slg,10063.336276948452,2.382047200375691,97.43727350737582
same_handed,3939.223957657814,0.9324360372897148,98.36970954466554
is_top,3140.495936393738,0.7433727093283994,99.11308225399394
stand_R,2158.543179154396,0.5109390757986206,99.62402132979255
p_throws_R,1476.4052693843842,0.3494732702724931,99.97349460006505
p_is_new,77.93453657627106,0.018447534650047184,99.9919421347151
b_is_rookie,34.04173016548157,0.008057865284933026,100.00000000000004
stand_S,0.0,0.0,100.00000000000004
