feature,gain,pct,cum_pct
b_k_rate,23145.789633750916,11.67216764780985,11.67216764780985
p_k_rate,15902.221973657608,8.019315987325745,19.691483635135597
b_bb_rate,14002.569308757782,7.061342000342514,26.75282563547811
p_bb_rate,11689.92099070549,5.895098838805694,32.647924474283805
p_pa_count,11171.381086111069,5.633604856777976,38.28152933106178
b_pa_count,9869.46106004715,4.97706087842521,43.258590209487
b_hr_rate,9855.539171934128,4.970040223066263,48.22863043255326
b_avg,8595.175178527832,4.334452495834451,52.56308292838771
score_diff,8547.933427095413,4.310628999145822,56.87371192753353
p_hr_rate,8458.72166800499,4.265640488287629,61.13935241582116
b_iso,8413.439044713974,4.24280495841594,65.3821573742371
p_obp,8232.723187208176,4.151671935140313,69.53382930937741
b_obp,8162.283525466919,4.116149986919542,73.64997929629695
p_avg,8094.293405294418,4.081863315624,77.73184261192095
bases_state,7630.964776277542,3.848211773832187,81.58005438575314
inning,6952.829268455505,3.506235480930541,85.08628986668369
b_slg,6717.539741754532,3.3875815553188215,88.4738714220025
p_iso,6598.889257669449,3.3277474185860036,91.8016188405885
p_slg,6198.628602743149,3.12590036384956,94.92751920443806
outs_when_up,3285.3271503448486,1.6567544198539457,96.584273624292
same_handed,2734.3625841140747,1.3789090368789405,97.96318266117093
is_top,2075.0812685489655,1.0464407061755683,99.0096233673465
p_throws_R,959.3220293521881,0.4837755692079752,99.49339893655448
stand_R,939.1524119377136,0.4736042525417838,99.96700318909627
p_is_new,53.1768798828125,0.026816516818011362,99.99381970591429
b_is_rookie,12.255460262298584,0.006180294085712685,100.0
stand_S,0.0,0.0,100.0
